Person Type Scenario,Period,Location,Percent Active Devices
Resident Weekday Before,1,HOME,88.99
Resident Weekday Before,2,HOME,89.74
Resident Weekday Before,3,HOME,90.36
Resident Weekday Before,4,HOME,90.75
Resident Weekday Before,5,HOME,91.03
Resident Weekday Before,6,HOME,91.25
Resident Weekday Before,7,HOME,91.42
Resident Weekday Before,8,HOME,91.42
Resident Weekday Before,9,HOME,91.23
Resident Weekday Before,10,HOME,90.82
Resident Weekday Before,11,HOME,89.87
Resident Weekday Before,12,HOME,88.4
Resident Weekday Before,13,HOME,85.93
Resident Weekday Before,14,HOME,82.75
Resident Weekday Before,15,HOME,76.96
Resident Weekday Before,16,HOME,68.9
Resident Weekday Before,17,HOME,60.28
Resident Weekday Before,18,HOME,53.7
Resident Weekday Before,19,HOME,48.49
Resident Weekday Before,20,HOME,45.15
Resident Weekday Before,21,HOME,42.71
Resident Weekday Before,22,HOME,41.12
Resident Weekday Before,23,HOME,39.99
Resident Weekday Before,24,HOME,39.23
Resident Weekday Before,25,HOME,39.09
Resident Weekday Before,26,HOME,38.67
Resident Weekday Before,27,HOME,38.73
Resident Weekday Before,28,HOME,38.91
Resident Weekday Before,29,HOME,39.57
Resident Weekday Before,30,HOME,41.34
Resident Weekday Before,31,HOME,44.54
Resident Weekday Before,32,HOME,47.61
Resident Weekday Before,33,HOME,50.38
Resident Weekday Before,34,HOME,53.54
Resident Weekday Before,35,HOME,57.59
Resident Weekday Before,36,HOME,61.37
Resident Weekday Before,37,HOME,64.24
Resident Weekday Before,38,HOME,66.29
Resident Weekday Before,39,HOME,68.23
Resident Weekday Before,40,HOME,69.57
Resident Weekday Before,41,HOME,72.05
Resident Weekday Before,42,HOME,74.63
Resident Weekday Before,43,HOME,77.56
Resident Weekday Before,44,HOME,79.89
Resident Weekday Before,45,HOME,82.23
Resident Weekday Before,46,HOME,83.77
Resident Weekday Before,47,HOME,85.61
Resident Weekday Before,48,HOME,86.61
Resident Weekday Before,1,WORK,3.7
Resident Weekday Before,2,WORK,3.42
Resident Weekday Before,3,WORK,3.21
Resident Weekday Before,4,WORK,3.08
Resident Weekday Before,5,WORK,3.01
Resident Weekday Before,6,WORK,2.96
Resident Weekday Before,7,WORK,2.93
Resident Weekday Before,8,WORK,2.97
Resident Weekday Before,9,WORK,3.08
Resident Weekday Before,10,WORK,3.28
Resident Weekday Before,11,WORK,3.71
Resident Weekday Before,12,WORK,4.45
Resident Weekday Before,13,WORK,6.02
Resident Weekday Before,14,WORK,8.17
Resident Weekday Before,15,WORK,12.74
Resident Weekday Before,16,WORK,19.41
Resident Weekday Before,17,WORK,26.86
Resident Weekday Before,18,WORK,32.43
Resident Weekday Before,19,WORK,37.05
Resident Weekday Before,20,WORK,39.43
Resident Weekday Before,21,WORK,40.98
Resident Weekday Before,22,WORK,42
Resident Weekday Before,23,WORK,42.69
Resident Weekday Before,24,WORK,43.13
Resident Weekday Before,25,WORK,42.95
Resident Weekday Before,26,WORK,42.9
Resident Weekday Before,27,WORK,42.92
Resident Weekday Before,28,WORK,42.75
Resident Weekday Before,29,WORK,42.37
Resident Weekday Before,30,WORK,40.62
Resident Weekday Before,31,WORK,37.64
Resident Weekday Before,32,WORK,34.35
Resident Weekday Before,33,WORK,30.97
Resident Weekday Before,34,WORK,27.37
Resident Weekday Before,35,WORK,22.56
Resident Weekday Before,36,WORK,18.54
Resident Weekday Before,37,WORK,15.27
Resident Weekday Before,38,WORK,12.98
Resident Weekday Before,39,WORK,11.13
Resident Weekday Before,40,WORK,9.95
Resident Weekday Before,41,WORK,8.81
Resident Weekday Before,42,WORK,7.98
Resident Weekday Before,43,WORK,7.17
Resident Weekday Before,44,WORK,6.56
Resident Weekday Before,45,WORK,5.83
Resident Weekday Before,46,WORK,5.32
Resident Weekday Before,47,WORK,4.68
Resident Weekday Before,48,WORK,4.28
Resident Weekday Before,1,OTHER,7.31
Resident Weekday Before,2,OTHER,6.84
Resident Weekday Before,3,OTHER,6.42
Resident Weekday Before,4,OTHER,6.16
Resident Weekday Before,5,OTHER,5.96
Resident Weekday Before,6,OTHER,5.79
Resident Weekday Before,7,OTHER,5.65
Resident Weekday Before,8,OTHER,5.61
Resident Weekday Before,9,OTHER,5.68
Resident Weekday Before,10,OTHER,5.9
Resident Weekday Before,11,OTHER,6.42
Resident Weekday Before,12,OTHER,7.15
Resident Weekday Before,13,OTHER,8.05
Resident Weekday Before,14,OTHER,9.08
Resident Weekday Before,15,OTHER,10.3
Resident Weekday Before,16,OTHER,11.69
Resident Weekday Before,17,OTHER,12.86
Resident Weekday Before,18,OTHER,13.87
Resident Weekday Before,19,OTHER,14.46
Resident Weekday Before,20,OTHER,15.42
Resident Weekday Before,21,OTHER,16.31
Resident Weekday Before,22,OTHER,16.88
Resident Weekday Before,23,OTHER,17.32
Resident Weekday Before,24,OTHER,17.63
Resident Weekday Before,25,OTHER,17.95
Resident Weekday Before,26,OTHER,18.43
Resident Weekday Before,27,OTHER,18.35
Resident Weekday Before,28,OTHER,18.33
Resident Weekday Before,29,OTHER,18.06
Resident Weekday Before,30,OTHER,18.04
Resident Weekday Before,31,OTHER,17.82
Resident Weekday Before,32,OTHER,18.04
Resident Weekday Before,33,OTHER,18.65
Resident Weekday Before,34,OTHER,19.09
Resident Weekday Before,35,OTHER,19.85
Resident Weekday Before,36,OTHER,20.09
Resident Weekday Before,37,OTHER,20.5
Resident Weekday Before,38,OTHER,20.72
Resident Weekday Before,39,OTHER,20.65
Resident Weekday Before,40,OTHER,20.48
Resident Weekday Before,41,OTHER,19.14
Resident Weekday Before,42,OTHER,17.39
Resident Weekday Before,43,OTHER,15.27
Resident Weekday Before,44,OTHER,13.56
Resident Weekday Before,45,OTHER,11.94
Resident Weekday Before,46,OTHER,10.92
Resident Weekday Before,47,OTHER,9.71
Resident Weekday Before,48,OTHER,9.11
Resident Weekday Now,1,HOME,92.32
Resident Weekday Now,2,HOME,92.55
Resident Weekday Now,3,HOME,92.9
Resident Weekday Now,4,HOME,93.06
Resident Weekday Now,5,HOME,93.25
Resident Weekday Now,6,HOME,93.31
Resident Weekday Now,7,HOME,93.45
Resident Weekday Now,8,HOME,93.4
Resident Weekday Now,9,HOME,93.36
Resident Weekday Now,10,HOME,93.16
Resident Weekday Now,11,HOME,92.74
Resident Weekday Now,12,HOME,91.98
Resident Weekday Now,13,HOME,90.52
Resident Weekday Now,14,HOME,88.79
Resident Weekday Now,15,HOME,86.52
Resident Weekday Now,16,HOME,84.66
Resident Weekday Now,17,HOME,82.52
Resident Weekday Now,18,HOME,80.84
Resident Weekday Now,19,HOME,79.45
Resident Weekday Now,20,HOME,78.5
Resident Weekday Now,21,HOME,77.72
Resident Weekday Now,22,HOME,77.22
Resident Weekday Now,23,HOME,76.99
Resident Weekday Now,24,HOME,76.59
Resident Weekday Now,25,HOME,76.38
Resident Weekday Now,26,HOME,76.38
Resident Weekday Now,27,HOME,76.58
Resident Weekday Now,28,HOME,76.55
Resident Weekday Now,29,HOME,76.84
Resident Weekday Now,30,HOME,77.09
Resident Weekday Now,31,HOME,77.85
Resident Weekday Now,32,HOME,78.81
Resident Weekday Now,33,HOME,80.15
Resident Weekday Now,34,HOME,81.48
Resident Weekday Now,35,HOME,82.97
Resident Weekday Now,36,HOME,84.09
Resident Weekday Now,37,HOME,85.15
Resident Weekday Now,38,HOME,85.83
Resident Weekday Now,39,HOME,86.6
Resident Weekday Now,40,HOME,86.82
Resident Weekday Now,41,HOME,88.32
Resident Weekday Now,42,HOME,88.79
Resident Weekday Now,43,HOME,89.35
Resident Weekday Now,44,HOME,89.54
Resident Weekday Now,45,HOME,90.37
Resident Weekday Now,46,HOME,90.64
Resident Weekday Now,47,HOME,91.21
Resident Weekday Now,48,HOME,91.54
Resident Weekday Now,1,WORK,3.65
Resident Weekday Now,2,WORK,3.52
