ZONE,COUNTY,MODE,TRIPS
428,Hillsborough County,WALK,201.71
429,Hillsborough County,WALK,26.71
432,Hillsborough County,AUTO,3651.23
434,Hillsborough County,AUTO,218.57
434,Hillsborough County,WALK,34.63
436,Hillsborough County,AUTO,290.51
438,Hillsborough County,AUTO,512.72
438,Hillsborough County,LONG DIST PASS,115.93
441,Hillsborough County,AUTO,248.35
443,Hillsborough County,AUTO,537.99
443,Hillsborough County,BIKE,74.59
443,Hillsborough County,WALK,212.64
451,Hillsborough County,AUTO,146.09
454,Hillsborough County,AUTO,388.88
456,Hillsborough County,AUTO,237.02
458,Hillsborough County,AUTO,1977.46
461,Hillsborough County,AUTO,35.98
461,Hillsborough County,TNC,9.14
474,Hillsborough County,AUTO,23.15
476,Hillsborough County,AUTO,27.2
477,Hillsborough County,AUTO,357.51
477,Hillsborough County,TNC,99.31
481,Hillsborough County,AUTO,715.44
482,Hillsborough County,AUTO,613.3
484,Hillsborough County,AUTO,18.28
485,Hillsborough County,WALK,18.28
487,Hillsborough County,AUTO,216.13
492,Hillsborough County,AUTO,204.29
492,Hillsborough County,WALK,204.29
493,Hillsborough County,AUTO,102.7
494,Hillsborough County,AUTO,530.7
496,Hillsborough County,AUTO,24.83
497,Hillsborough County,AUTO,31.37
498,Hillsborough County,AUTO,94.08
503,Hillsborough County,AUTO,15.68
504,Hillsborough County,AUTO,64.41
506,Hillsborough County,AUTO,9.14
507,Hillsborough County,AUTO,26.7
507,Hillsborough County,WALK,5.18
508,Hillsborough County,AUTO,2.59
509,Hillsborough County,AUTO,53.4
510,Hillsborough County,AUTO,26.7
512,Hillsborough County,AUTO,1138.2
512,Hillsborough County,WALK,1517.6
513,Hillsborough County,AUTO,379.4
515,Hillsborough County,AUTO,36.57
517,Hillsborough County,AUTO,6159.67
517,Hillsborough County,BIKE,3679.78
517,Hillsborough County,WALK,20852.07
519,Hillsborough County,AUTO,4300.07
522,Hillsborough County,AUTO,1839.89
523,Hillsborough County,AUTO,3854.26
524,Hillsborough County,AUTO,1226.59
529,Hillsborough County,LONG DIST PASS,3854.26
533,Hillsborough County,AUTO,49.26
535,Hillsborough County,AUTO,157.37
541,Hillsborough County,AUTO,139.23
563,Hillsborough County,AUTO,18.28
571,Hillsborough County,AUTO,88.62
571,Hillsborough County,TRANSIT,135.03
572,Hillsborough County,AUTO,162.21
573,Hillsborough County,AUTO,88.62
577,Hillsborough County,AUTO,247.85
577,Hillsborough County,BIKE,102.7
578,Hillsborough County,AUTO,263.73
579,Hillsborough County,AUTO,1839.89
580,Hillsborough County,CAR SHARE,115.93
584,Hillsborough County,AUTO,113.16
590,Hillsborough County,WALK,104.13
591,Hillsborough County,AUTO,81.58
597,Hillsborough County,AUTO,98.65
598,Hillsborough County,AUTO,26.71
598,Hillsborough County,WALK,249.84
599,Hillsborough County,AUTO,18.28
600,Hillsborough County,AUTO,958.58
600,Hillsborough County,BIKE,145.15
600,Hillsborough County,WALK,420.97
601,Hillsborough County,AUTO,36.57
602,Hillsborough County,AUTO,135.03
602,Hillsborough County,TRANSIT,135.03
605,Hillsborough County,AUTO,139.6
614,Hillsborough County,AUTO,3854.26
618,Hillsborough County,AUTO,39.97
618,Hillsborough County,WALK,18.28
619,Hillsborough County,AUTO,2296.83
619,Hillsborough County,WALK,18.28
620,Hillsborough County,AUTO,1226.59
623,Hillsborough County,AUTO,203.31
623,Hillsborough County,TRANSIT,150.05
624,Hillsborough County,AUTO,26.71
631,Hillsborough County,AUTO,63.74
634,Hillsborough County,AUTO,437.63
636,Hillsborough County,AUTO,140.13
638,Hillsborough County,AUTO,379.4
639,Hillsborough County,AUTO,98.66
639,Hillsborough County,CAR SHARE,115.93
639,Hillsborough County,LONG DIST PASS,3854.26
644,Hillsborough County,AUTO,2580.24
645,Hillsborough County,AUTO,43.17
646,Hillsborough County,AUTO,102.88
646,Hillsborough County,LONG DIST PASS,9635.65
649,Hillsborough County,AUTO,150.85
656,Hillsborough County,TNC,140.13
666,Hillsborough County,TNC,56.16
669,Hillsborough County,AUTO,4670.1
677,Hillsborough County,AUTO,203.93
681,Hillsborough County,AUTO,1187.74
689,Hillsborough County,AUTO,187.96
694,Hillsborough County,AUTO,211.84
698,Hillsborough County,AUTO,103.82
701,Hillsborough County,AUTO,1927.13
702,Hillsborough County,AUTO,3854.26
708,Hillsborough County,AUTO,3854.26
712,Hillsborough County,AUTO,11.99
713,Hillsborough County,AUTO,55.6
719,Hillsborough County,AUTO,239.81
719,Hillsborough County,WALK,159.87
720,Hillsborough County,AUTO,39.97
723,Hillsborough County,AUTO,3880.67
727,Hillsborough County,AUTO,5834.21
728,Hillsborough County,AUTO,1307.69
732,Hillsborough County,AUTO,4086.33
732,Hillsborough County,WALK,1167.52
733,Hillsborough County,AUTO,116.06
733,Hillsborough County,WALK,583.76
734,Hillsborough County,AUTO,3292.57
734,Hillsborough County,TNC,99.15
736,Hillsborough County,AUTO,355.51
738,Hillsborough County,AUTO,39.97
744,Hillsborough County,AUTO,15417.04
746,Hillsborough County,AUTO,375.93
751,Hillsborough County,AUTO,0.46
761,Hillsborough County,AUTO,219.75
768,Hillsborough County,AUTO,98.32
770,Hillsborough County,AUTO,98.32
770,Hillsborough County,TNC,98.32
781,Hillsborough County,AUTO,10187.51
791,Hillsborough County,AUTO,103.82
793,Hillsborough County,AUTO,24.84
795,Hillsborough County,AUTO,9923.25
795,Hillsborough County,WALK,5230.75
803,Hillsborough County,AUTO,1848.23
807,Hillsborough County,AUTO,85.93
818,Hillsborough County,AUTO,150.5
823,Hillsborough County,AUTO,0.46
824,Hillsborough County,AUTO,0.46
824,Hillsborough County,WALK,13101.97
828,Hillsborough County,AUTO,305.24
828,Hillsborough County,WALK,63.75
832,Hillsborough County,AUTO,12078.51
832,Hillsborough County,WALK,6550.98
833,Hillsborough County,AUTO,0.92
839,Hillsborough County,AUTO,150.66
849,Hillsborough County,AUTO,2.52
849,Hillsborough County,BIKE,0.84
851,Hillsborough County,AUTO,119.95
852,Hillsborough County,AUTO,119.95
854,Hillsborough County,AUTO,12.83
857,Hillsborough County,AUTO,0.84
858,Hillsborough County,AUTO,388.66
859,Hillsborough County,AUTO,995.49
859,Hillsborough County,OTHER,269.04
859,Hillsborough County,WALK,45.78
860,Hillsborough County,AUTO,451.09
860,Hillsborough County,OTHER,3912.31
860,Hillsborough County,WALK,83.21
861,Hillsborough County,AUTO,122.4
863,Hillsborough County,AUTO,51.84
868,Hillsborough County,AUTO,74.91
871,Hillsborough County,AUTO,539.32
871,Hillsborough County,WALK,102.08
872,Hillsborough County,AUTO,95.92
872,Hillsborough County,OTHER,3974.83
872,Hillsborough County,WALK,102.08
873,Hillsborough County,AUTO,122.4
874,Hillsborough County,AUTO,372.83
874,Hillsborough County,OTHER,279.1
874,Hillsborough County,WALK,47.74
875,Hillsborough County,AUTO,802.01
875,Hillsborough County,OTHER,271.15
881,Hillsborough County,AUTO,3585.78
1001,Pinellas County,AUTO,304.63
1009,Pinellas County,AUTO,140.97
1014,Pinellas County,AUTO,164.43
1014,Pinellas County,BIKE,82.22
1014,Pinellas County,WALK,246.65
1017,Pinellas County,AUTO,357.95
1018,Pinellas County,WALK,126.84
1019,Pinellas County,WALK,217.2
1021,Pinellas County,AUTO,604.21
1021,Pinellas County,WALK,534.26
1022,Pinellas County,TRANSIT,55.72
1023,Pinellas County,AUTO,384.05
1026,Pinellas County,AUTO,210.4
1033,Pinellas County,AUTO,377.55
1034,Pinellas County,AUTO,1466.15
1035,Pinellas County,AUTO,666.51
1035,Pinellas County,WALK,1724.6
1037,Pinellas County,AUTO,333.25
1041,Pinellas County,AUTO,4828.74
1042,Pinellas County,AUTO,724.84
1045,Pinellas County,AUTO,1983.75
1047,Pinellas County,WALK,99.86
1051,Pinellas County,AUTO,228.62
1051,Pinellas County,WALK,228.62
1052,Pinellas County,WALK,228.62
1054,Pinellas County,AUTO,2331
1057,Pinellas County,AUTO,1983.75
1058,Pinellas County,AUTO,464.19
1058,Pinellas County,BIKE,1199.84
1061,Pinellas County,AUTO,464.19
1063,Pinellas County,AUTO,83.47
1064,Pinellas County,AUTO,98.08
1065,Pinellas County,AUTO,228.62
1069,Pinellas County,AUTO,377.55
1070,Pinellas County,AUTO,2399.68
1072,Pinellas County,AUTO,5251.37
1072,Pinellas County,WALK,3145.19
1075,Pinellas County,AUTO,141.14
1076,Pinellas County,AUTO,2414.37
1076,Pinellas County,WALK,4828.74
1082,Pinellas County,AUTO,201.46
1085,Pinellas County,AUTO,2411.87
1085,Pinellas County,OTHER,25385.27
1085,Pinellas County,WALK,4823.74
1087,Pinellas County,AUTO,81.89
1087,Pinellas County,WALK,1948.24
1088,Pinellas County,AUTO,2065.58
1088,Pinellas County,WALK,1948.24
1091,Pinellas County,AUTO,1913.24
1093,Pinellas County,BIKE,164.43
1093,Pinellas County,TRANSIT,55.72
1095,Pinellas County,WALK,55.72
1102,Pinellas County,AUTO,284.74
1106,Pinellas County,AUTO,1750.88
1107,Pinellas County,AUTO,152.17
1111,Pinellas County,AUTO,3240.92
1115,Pinellas County,AUTO,1490.05
1116,Pinellas County,AUTO,323.5
1117,Pinellas County,AUTO,205.61
1120,Pinellas County,AUTO,2659.91
1124,Pinellas County,AUTO,329.46
1130,Pinellas County,AUTO,125.85
1132,Pinellas County,AUTO,377.99
1132,Pinellas County,WALK,2248.14
1135,Pinellas County,AUTO,1913.24
1135,Pinellas County,WALK,3826.47
1141,Pinellas County,AUTO,2718.26
1142,Pinellas County,AUTO,367.46
1144,Pinellas County,AUTO,4496.28
1147,Pinellas County,AUTO,5956.33
1147,Pinellas County,WALK,406.9
1149,Pinellas County,AUTO,2257.4
1149,Pinellas County,WALK,2257.4
1151,Pinellas County,AUTO,206.56
1156,Pinellas County,AUTO,123.85
1157,Pinellas County,AUTO,2535.7
1157,Pinellas County,WALK,7466.99
1159,Pinellas County,AUTO,2257.4
1160,Pinellas County,WALK,2257.4
1161,Pinellas County,AUTO,121.36
1162,Pinellas County,TRANSIT,55.72
1162,Pinellas County,WALK,111.44
1163,Pinellas County,AUTO,206.56
1171,Pinellas County,AUTO,229.25
1173,Pinellas County,AUTO,229.25
1176,Pinellas County,AUTO,115.76
1177,Pinellas County,WALK,47.42
1187,Pinellas County,AUTO,293.88
1195,Pinellas County,AUTO,139.08
1197,Pinellas County,AUTO,150.55
1203,Pinellas County,AUTO,214.9
1216,Pinellas County,AUTO,4059.36
1216,Pinellas County,WALK,176.28
1217,Pinellas County,AUTO,345.24
1227,Pinellas County,AUTO,722.27
1228,Pinellas County,AUTO,6179.54
1229,Pinellas County,AUTO,116.69
1245,Pinellas County,AUTO,2397.37
1252,Pinellas County,WALK,1260.06
1253,Pinellas County,AUTO,1480.63
1254,Pinellas County,AUTO,3976.74
1256,Pinellas County,AUTO,176.28
1259,Pinellas County,AUTO,491.37
1259,Pinellas County,WALK,196.55
1262,Pinellas County,AUTO,196.97
1263,Pinellas County,AUTO,387.98
1267,Pinellas County,BIKE,18.28
1268,Pinellas County,AUTO,166.94
1268,Pinellas County,WALK,176.28
1272,Pinellas County,AUTO,26.41
1274,Pinellas County,AUTO,214.9
1275,Pinellas County,AUTO,1198.68
1283,Pinellas County,AUTO,181.99
1288,Pinellas County,AUTO,116.1
1289,Pinellas County,AUTO,2866.13
1289,Pinellas County,WALK,2932.29
1291,Pinellas County,AUTO,200.49
1293,Pinellas County,AUTO,1092.92
1303,Pinellas County,AUTO,98.08
1307,Pinellas County,WALK,117.79
1309,Pinellas County,AUTO,100.25
1316,Pinellas County,AUTO,52.82
1328,Pinellas County,AUTO,1954.67
1334,Pinellas County,AUTO,850.9
1336,Pinellas County,AUTO,1901.03
1337,Pinellas County,AUTO,1260.06
1342,Pinellas County,AUTO,98.27
1344,Pinellas County,AUTO,238.92
1347,Pinellas County,AUTO,752.38
1348,Pinellas County,AUTO,3191.47
1350,Pinellas County,AUTO,52.82
1352,Pinellas County,AUTO,151.32
1354,Pinellas County,AUTO,196.97
1358,Pinellas County,AUTO,26.41
1370,Pinellas County,AUTO,39.97
1370,Pinellas County,LONG DIST PASS,4662
1370,Pinellas County,WALK,39.97
1387,Pinellas County,AUTO,1595.74
1388,Pinellas County,AUTO,26.41
1389,Pinellas County,AUTO,7581.62
1389,Pinellas County,WALK,1198.68
1391,Pinellas County,AUTO,890.82
1391,Pinellas County,WALK,101.67
1400,Pinellas County,AUTO,41.01
1404,Pinellas County,AUTO,150.55
1406,Pinellas County,WALK,101.67
1410,Pinellas County,AUTO,26.41
1412,Pinellas County,AUTO,2021.9
1419,Pinellas County,AUTO,1668.78
1419,Pinellas County,BIKE,365.98
1419,Pinellas County,WALK,182.99
1425,Pinellas County,AUTO,196.97
1427,Pinellas County,AUTO,215.02
1429,Pinellas County,AUTO,1092.92
1430,Pinellas County,AUTO,4167.15
1431,Pinellas County,AUTO,1480.63
1432,Pinellas County,AUTO,1951.37
1453,Pinellas County,AUTO,293.88
1454,Pinellas County,AUTO,293.88
1455,Pinellas County,AUTO,79.22
1459,Pinellas County,AUTO,293.88
1465,Pinellas County,AUTO,1407.29
1468,Pinellas County,AUTO,504.29
1469,Pinellas County,AUTO,1662.77
1470,Pinellas County,AUTO,3297.1
1471,Pinellas County,AUTO,2814.58
1473,Pinellas County,AUTO,138.98
1474,Pinellas County,AUTO,1653.63
1476,Pinellas County,AUTO,4481.69
1477,Pinellas County,AUTO,1662.77
1478,Pinellas County,AUTO,9.14
1490,Pinellas County,AUTO,7131.31
1490,Pinellas County,WALK,6074.61
1496,Pinellas County,AUTO,26.41
1500,Pinellas County,AUTO,26.41
1512,Pinellas County,AUTO,2379.59
1512,Pinellas County,WALK,99.43
1515,Pinellas County,WALK,99.43
1517,Pinellas County,AUTO,546.64
1519,Pinellas County,AUTO,50.41
1519,Pinellas County,BIKE,18.28
1520,Pinellas County,AUTO,2379.59
1527,Pinellas County,AUTO,41.93
1528,Pinellas County,AUTO,1595.74
1530,Pinellas County,AUTO,49.3
1531,Pinellas County,AUTO,173.78
1531,Pinellas County,WALK,347.56
1532,Pinellas County,AUTO,1407.54
1532,Pinellas County,WALK,388.05
1533,Pinellas County,AUTO,37.31
1537,Pinellas County,AUTO,125.85
1540,Pinellas County,AUTO,98.4
1541,Pinellas County,AUTO,316.89
1544,Pinellas County,AUTO,105.63
1546,Pinellas County,AUTO,52.82
1547,Pinellas County,AUTO,26.41
1548,Pinellas County,AUTO,2568.46
1552,Pinellas County,AUTO,1284.23
1553,Pinellas County,AUTO,26.41
1556,Pinellas County,AUTO,153.95
1560,Pinellas County,AUTO,132.06
1561,Pinellas County,AUTO,162.15
1563,Pinellas County,AUTO,82.93
1582,Pinellas County,AUTO,1284.23
1583,Pinellas County,AUTO,139.35
1588,Pinellas County,AUTO,105.65
1595,Pinellas County,AUTO,115.48
1597,Pinellas County,AUTO,505.04
1604,Pinellas County,AUTO,82.22
1606,Pinellas County,AUTO,26.41
1613,Pinellas County,AUTO,2819.73
1618,Pinellas County,AUTO,256
1622,Pinellas County,AUTO,117.44
1628,Pinellas County,AUTO,505.04
1630,Pinellas County,AUTO,3191.47
1633,Pinellas County,AUTO,2185.83
1634,Pinellas County,AUTO,505.04
1637,Pinellas County,AUTO,505.04
1638,Pinellas County,AUTO,26.41
1642,Pinellas County,AUTO,541.06
1643,Pinellas County,AUTO,26.41
1647,Pinellas County,AUTO,2216.6
1653,Pinellas County,AUTO,184.3
1653,Pinellas County,WALK,165.85
1657,Pinellas County,AUTO,606.41
1662,Pinellas County,AUTO,872.26
1668,Pinellas County,AUTO,3391.1
1669,Pinellas County,AUTO,1728.07
1671,Pinellas County,AUTO,1920.91
1677,Pinellas County,WALK,164.61
1678,Pinellas County,AUTO,422.04
1681,Pinellas County,WALK,101.03
1682,Pinellas County,AUTO,3191.47
1685,Pinellas County,AUTO,1595.74
1695,Pinellas County,AUTO,411.01
1700,Pinellas County,AUTO,98.27
1702,Pinellas County,AUTO,851.18
1706,Pinellas County,AUTO,101.18
1709,Pinellas County,AUTO,3193.54
1711,Pinellas County,AUTO,431.98
1711,Pinellas County,WALK,710.6
1713,Pinellas County,AUTO,34.33
1715,Pinellas County,AUTO,851.18
1715,Pinellas County,WALK,721.79
1716,Pinellas County,WALK,424.07
1718,Pinellas County,AUTO,265.23
1721,Pinellas County,AUTO,429.81
1722,Pinellas County,AUTO,152.17
1734,Pinellas County,AUTO,2148.66
1734,Pinellas County,WALK,228.6
1738,Pinellas County,AUTO,212.03
1742,Pinellas County,AUTO,150.02
1744,Pinellas County,AUTO,3191.47
1745,Pinellas County,AUTO,505.04
1751,Pinellas County,WALK,510.02
1754,Pinellas County,AUTO,157.54
1757,Pinellas County,AUTO,10507.56
1758,Pinellas County,AUTO,429.81
1764,Pinellas County,AUTO,35.68
1769,Pinellas County,WALK,102.31
1771,Pinellas County,AUTO,678.24
1772,Pinellas County,AUTO,144.61
1775,Pinellas County,AUTO,102.31
1775,Pinellas County,WALK,306.94
2009,Pasco County,AUTO,99.46
2011,Pasco County,AUTO,120.04
2015,Pasco County,AUTO,676.94
2016,Pasco County,AUTO,2263.67
2018,Pasco County,AUTO,6242.37
2021,Pasco County,AUTO,630.85
2022,Pasco County,AUTO,3512.14
2025,Pasco County,AUTO,857.63
2034,Pasco County,AUTO,624.24
2040,Pasco County,AUTO,624.24
2053,Pasco County,AUTO,1510.93
2081,Pasco County,AUTO,2041.31
2087,Pasco County,AUTO,624.24
2093,Pasco County,AUTO,52.7
2101,Pasco County,AUTO,116.16
2136,Pasco County,AUTO,426.62
2148,Pasco County,AUTO,255.97
2149,Pasco County,AUTO,766.69
2150,Pasco County,AUTO,700.38
2152,Pasco County,AUTO,13649.39
2152,Pasco County,WALK,1299.94
2177,Pasco County,AUTO,596.05
2189,Pasco County,AUTO,624.24
2190,Pasco County,AUTO,34.63
2197,Pasco County,AUTO,296.57
2206,Pasco County,AUTO,215.02
2213,Pasco County,AUTO,42.31
2242,Pasco County,AUTO,338.5
2242,Pasco County,OTHER,169.25
2243,Pasco County,AUTO,210.4
2244,Pasco County,AUTO,726.71
2255,Pasco County,AUTO,184.45
2256,Pasco County,AUTO,79.05
2263,Pasco County,AUTO,162.8
2272,Pasco County,AUTO,649.97
2273,Pasco County,AUTO,2.59
2277,Pasco County,WALK,649.97
2279,Pasco County,AUTO,1299.94
2280,Pasco County,AUTO,649.97
2289,Pasco County,AUTO,105.2
2289,Pasco County,OTHER,1583.32
2297,Pasco County,AUTO,105.2
2304,Pasco County,AUTO,700.38
2313,Pasco County,AUTO,1025.44
2322,Pasco County,AUTO,649.97
2324,Pasco County,AUTO,1949.91
2325,Pasco County,AUTO,120.04
2331,Pasco County,AUTO,781.27
2332,Pasco County,AUTO,204.32
2338,Pasco County,AUTO,79.05
2339,Pasco County,AUTO,26.35
2341,Pasco County,AUTO,198.99
2342,Pasco County,AUTO,138.91
2343,Pasco County,AUTO,1299.94
2346,Pasco County,AUTO,196.93
2348,Pasco County,AUTO,255.97
2390,Pasco County,AUTO,781.27
2397,Pasco County,AUTO,140.13
2400,Pasco County,AUTO,1115.19
2416,Pasco County,AUTO,3247.48
2419,Pasco County,AUTO,209.54
2419,Pasco County,OTHER,11.14
2429,Pasco County,AUTO,715.01
2431,Pasco County,AUTO,2297.71
2432,Pasco County,AUTO,123.62
2471,Pasco County,AUTO,700.38
2511,Hernando County,AUTO,74.85
2512,Hernando County,AUTO,457.97
2513,Hernando County,AUTO,1023.76
2515,Hernando County,AUTO,69.63
2517,Hernando County,AUTO,91.71
2567,Hernando County,AUTO,974.33
2570,Hernando County,AUTO,2496.95
2577,Hernando County,BIKE,24.58
2592,Hernando County,AUTO,642.92
2600,Hernando County,AUTO,268.54
2603,Hernando County,AUTO,1720.21
2606,Hernando County,AUTO,6592.46
2619,Hernando County,AUTO,1248.47
2625,Hernando County,AUTO,1308.15
2625,Hernando County,OTHER,1208.69
2625,Hernando County,WALK,2417.38
2631,Hernando County,AUTO,1062.28
2634,Hernando County,AUTO,601.04
2635,Hernando County,AUTO,2018.61
2637,Hernando County,AUTO,210.4
2638,Hernando County,AUTO,2707.35
2645,Hernando County,AUTO,1443.2
2645,Hernando County,OTHER,35.83
2645,Hernando County,WALK,37.76
2646,Hernando County,AUTO,921.27
2646,Hernando County,OTHER,110.68
2646,Hernando County,WALK,312.5
2648,Hernando County,AUTO,812
2648,Hernando County,OTHER,74.85
2650,Hernando County,AUTO,182.38
2657,Hernando County,AUTO,58.7
2661,Hernando County,AUTO,74.85
2666,Hernando County,AUTO,3021.86
2667,Hernando County,AUTO,3021.86
2668,Hernando County,AUTO,1208.69
2670,Hernando County,AUTO,3391.71
2676,Hernando County,AUTO,2496.95
2679,Hernando County,AUTO,12484.74
2684,Hernando County,AUTO,755.47
2693,Hernando County,AUTO,974.33
2699,Hernando County,AUTO,247.23
2712,Hernando County,AUTO,270.34
2809,Citrus County,AUTO,196.57
2810,Citrus County,AUTO,213.77
2816,Citrus County,AUTO,329.25
2816,Citrus County,WALK,230.97
2828,Citrus County,AUTO,127.8
2828,Citrus County,BIKE,127.8
2832,Citrus County,AUTO,11106.21
2833,Citrus County,AUTO,230.97
2834,Citrus County,AUTO,244.12
2836,Citrus County,AUTO,196.55
2839,Citrus County,AUTO,123.57
2841,Citrus County,AUTO,367.69
2842,Citrus County,AUTO,326.28
2842,Citrus County,WALK,217.52
2850,Citrus County,AUTO,5553.11
